::1 | 2023-10-07T06:11:32.236Z | GET | '/' | '{}' | {} | {} | HTTP/1.1 | 200 | - | 'PostmanRuntime/7.33.0'
::1 | 2023-10-07T06:12:16.830Z | GET | '/' | '{}' | {} | {} | HTTP/1.1 | 200 | - | 'PostmanRuntime/7.33.0'
::1 | 2023-10-07T06:12:25.784Z | GET | '/' | '{}' | {} | {} | HTTP/1.1 | 200 | - | 'PostmanRuntime/7.33.0'
::1 | 2023-10-07T06:12:57.739Z | POST | '/' | '{}' | {} | {} | HTTP/1.1 | 201 | - | 'PostmanRuntime/7.33.0'
::1 | 2023-10-07T06:13:11.333Z | GET | '/' | '{}' | {} | {} | HTTP/1.1 | 200 | - | 'PostmanRuntime/7.33.0'
::1 | 2023-10-07T06:13:33.036Z | GET | '/' | '{}' | {} | {} | HTTP/1.1 | 200 | - | 'PostmanRuntime/7.33.0'
::1 | 2023-10-07T06:15:01.102Z | GET | '/' | '{}' | {} | {} | HTTP/1.1 | 200 | - | 'PostmanRuntime/7.33.0'
::1 | 2023-10-07T06:15:53.411Z | GET | '/' | '{}' | {} | {} | HTTP/1.1 | 200 | - | 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36'
::1 | 2023-10-07T06:15:53.432Z | GET | '/favicon.ico' | '{}' | {"0":"/favicon.ico"} | {} | HTTP/1.1 | 404 | http://localhost:4000/api/v1/jokes | 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36'
::1 | 2023-10-07T06:16:20.055Z | GET | '/' | '{}' | {} | {} | HTTP/1.1 | 200 | - | 'PostmanRuntime/7.33.0'
::1 | 2023-10-07T06:33:35.072Z | GET | '/list' | '{}' | {} | {} | HTTP/1.1 | 200 | - | 'PostmanRuntime/7.33.0'
::1 | 2023-10-07T06:38:54.035Z | GET | '/list' | '{}' | {} | {} | HTTP/1.1 | 200 | - | 'PostmanRuntime/7.33.0'
::1 | 2023-10-07T06:39:51.812Z | GET | '/export-csv' | '{}' | {} | {} | HTTP/1.1 | 200 | - | 'PostmanRuntime/7.33.0'
::1 | 2023-10-07T06:40:05.589Z | GET | '/export-csv' | '{}' | {} | {} | HTTP/1.1 | 200 | - | 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36'
::1 | 2023-10-07T06:43:54.900Z | GET | '/list' | '{}' | {} | {} | HTTP/1.1 | 200 | - | 'PostmanRuntime/7.33.0'
::1 | 2023-10-07T06:44:05.213Z | GET | '/list' | '{}' | {} | {} | HTTP/1.1 | 404 | - | 'PostmanRuntime/7.33.0'
::1 | 2023-10-07T06:46:48.321Z | POST | '/filter-logs' | '{}' | {} | {} | HTTP/1.1 | 200 | - | 'PostmanRuntime/7.33.0'
::1 | 2023-10-07T06:48:41.636Z | POST | '/log/filter-logs' | '{}' | - | {"userAgent":"postman"} | HTTP/1.1 | 404 | - | 'PostmanRuntime/7.33.0'
::1 | 2023-10-07T06:51:34.286Z | GET | '/' | '{}' | {} | {} | HTTP/1.1 | 200 | http://localhost:3000/ | 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 Edg/117.0.2045.47'
::1 | 2023-10-07T06:51:51.487Z | GET | '/' | '{}' | {} | {} | HTTP/1.1 | 304 | http://localhost:3000/ | 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 Edg/117.0.2045.47'
::1 | 2023-10-07T06:53:31.652Z | GET | '/' | '{}' | {} | {} | HTTP/1.1 | 304 | http://localhost:3000/ | 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 Edg/117.0.2045.47'
::1 | 2023-10-07T06:55:52.437Z | GET | '/list' | '{}' | {} | {} | HTTP/1.1 | 200 | http://localhost:3000/ | 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 Edg/117.0.2045.47'
::1 | 2023-10-07T06:56:07.261Z | GET | '/list' | '{}' | {} | {} | HTTP/1.1 | 200 | http://localhost:3000/ | 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 Edg/117.0.2045.47'
::1 | 2023-10-07T06:57:29.155Z | GET | '/list' | '{}' | {} | {} | HTTP/1.1 | 200 | http://localhost:3000/ | 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 Edg/117.0.2045.47'
::1 | 2023-10-07T06:58:25.851Z | GET | '/list' | '{}' | {} | {} | HTTP/1.1 | 200 | http://localhost:3000/ | 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 Edg/117.0.2045.47'
::1 | 2023-10-07T06:59:17.629Z | GET | '/list' | '{}' | {} | {} | HTTP/1.1 | 200 | http://localhost:3000/ | 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 Edg/117.0.2045.47'
::1 | 2023-10-07T06:59:30.889Z | GET | '/list' | '{}' | {} | {} | HTTP/1.1 | 200 | http://localhost:3000/ | 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 Edg/117.0.2045.47'
::1 | 2023-10-07T07:00:19.706Z | GET | '/list' | '{}' | {} | {} | HTTP/1.1 | 200 | http://localhost:3000/ | 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 Edg/117.0.2045.47'
::1 | 2023-10-07T07:00:48.366Z | GET | '/list' | '{}' | {} | {} | HTTP/1.1 | 200 | http://localhost:3000/ | 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 Edg/117.0.2045.47'
::1 | 2023-10-07T07:01:06.190Z | GET | '/list' | '{}' | {} | {} | HTTP/1.1 | 200 | http://localhost:3000/ | 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 Edg/117.0.2045.47'
::1 | 2023-10-07T07:01:10.735Z | GET | '/list' | '{}' | {} | {} | HTTP/1.1 | 200 | http://localhost:3000/ | 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 Edg/117.0.2045.47'
::1 | 2023-10-07T07:32:46.272Z | GET | '/list' | '{}' | {} | {} | HTTP/1.1 | 200 | http://localhost:3000/ | 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 Edg/117.0.2045.47'
::1 | 2023-10-07T07:32:46.373Z | GET | '/' | '{}' | {} | {} | HTTP/1.1 | 304 | http://localhost:3000/ | 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 Edg/117.0.2045.47'
::1 | 2023-10-07T07:32:59.784Z | GET | '/list' | '{}' | {} | {} | HTTP/1.1 | 200 | http://localhost:3000/ | 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 Edg/117.0.2045.47'
